No,Check ID,Category,Sub Category,Check Point,Severity,Requirement,Standard ID,Source Document,Chapter,Section,Page,Condition,Exception,Result,Evidence,Reviewer,Review Date,Comment
1,CHK-UI-001,UI,項目定義,項目定義表には項目IDを記載しているか？,High,項目定義表には項目IDを記載している,STD-UI-001,画面設計標準（例示用の抜粋）,3,3.2,不明,,,Pending,,,,
2,CHK-UI-002,UI,項目定義,項目定義表には項目名称を記載しているか？,High,項目定義表には項目名称を記載している,STD-UI-001,画面設計標準（例示用の抜粋）,3,3.2,不明,,,Pending,,,,
3,CHK-UI-003,UI,項目定義,項目定義表にはデータ型を記載しているか？,High,項目定義表にはデータ型を記載している,STD-UI-001,画面設計標準（例示用の抜粋）,3,3.2,不明,,,Pending,,,,
4,CHK-UI-004,UI,項目定義,項目定義表には桁数を記載しているか？,High,項目定義表には桁数を記載している,STD-UI-001,画面設計標準（例示用の抜粋）,3,3.2,不明,,,Pending,,,,
5,CHK-UI-005,UI,項目定義,項目の初期値を定義しているか？,High,項目の初期値を定義している,STD-UI-002,画面設計標準（例示用の抜粋）,3,3.2,不明,,ただし、参照専用項目の初期値は定義を省略できる,Pending,,,,
6,CHK-UI-006,UI,例外,例外規定「ただし、参照専用項目の初期値は定義を省略できる」の適用有無が設計上明確になっているか？,High,例外規定: ただし、参照専用項目の初期値は定義を省略できる,STD-UI-002,画面設計標準（例示用の抜粋）,3,3.2,不明,,ただし、参照専用項目の初期値は定義を省略できる,Pending,,,,
7,CHK-UI-007,UI,項目定義,日付項目は YYYY/MM/DD または YYYYMMDD の形式としているか？,High,日付項目は YYYY/MM/DD または YYYYMMDD の形式としている,STD-UI-003,画面設計標準（例示用の抜粋）,3,3.2,不明,,,Pending,,,,
8,CHK-UI-008,UI,項目定義,主要な操作ボタンは画面下部に配置することとしているか？,Low,主要な操作ボタンは画面下部に配置することとしている,STD-UI-004,画面設計標準（例示用の抜粋）,3,3.2,不明,,,Pending,,,,
9,CHK-UI-009,エラー処理,入力チェック,必須項目は識別可能な表示になっているか？,High,必須項目は識別可能な表示,STD-UI-005,画面設計標準（例示用の抜粋）,3,3.4,不明,,,Pending,,,,
10,CHK-UI-010,エラー処理,入力チェック,必須項目は未入力の場合はエラー表示しているか？,High,必須項目は未入力の場合はエラー表示している,STD-UI-005,画面設計標準（例示用の抜粋）,3,3.4,不明,必須項目は未入力の場合,,Pending,,,,
11,CHK-UI-011,セキュリティ,セキュリティ,パスワードを画面遷移のURLパラメータに含めない設計になっているか？,Critical,パスワードを画面遷移のURLパラメータに含めない設計になっている,STD-UI-006,画面設計標準（例示用の抜粋）,5,不明,不明,,,Pending,,,,
12,CHK-UI-012,UI,その他,画面設計は適切な粒度で行っているか？,High,画面設計は適切な粒度で行っている,STD-UI-007,画面設計標準（例示用の抜粋）,7,不明,不明,,,Pending,,,,
